id,created_at,text,retweets,favorites
599599403419111424,2015-05-16 15:36:52,"To those who serve, those who have served and given everything &amp; their families, we thank you. Happy #ArmedForcesDay! http://t.co/6ALPL2UqIQ",26,11
599285280659664897,2015-05-15 18:48:39,Congrats to one of my former interns Boaz Witbeck​ for graduating from @ASU with a Masters in Public Administration! http://t.co/2b0JZC0iyo,2,6
599253796653522944,2015-05-15 16:43:33,Today is #PeaceOfficersMemorialDay! Thank a police officer for helping to keep you safe. #NationalPoliceWeek http://t.co/rwH2ykMgVu,28,26
599230531776032768,2015-05-15 15:11:06,#FF the AZ House delegation: @RepMattSalmon @repdavid @RepGosar @RepMcSally @RepKirkpatrick @RepRubenGallego @RepSinema @RepRaulGrijalva,4,6
599229078193901568,2015-05-15 15:05:20,"#FF #Arizona elected officials Gov @dougducey, @GeneralBrnovich, @SecretaryReagan, @AZTreasurer @JeffDeWitAZ. Thanks for all you do!",4,5
598674189185208320,2015-05-14 02:20:24,"My deepest appreciation to @AllianceDefends, @CWforA, @FRCdc, @nrlc, @SBAList &amp; many orgs &amp; activists for #HR36 help. http://t.co/Duk0GwGqbk",44,39
598603620624539651,2015-05-13 21:39:59,I am so grateful to all those who made this possible. The Historic passage of #HR36 is one to be celebrated. http://t.co/qMxLRb3RRy,130,127
598599936037486592,2015-05-13 21:25:20,"This is it - Voting now on #HR36, the #PainCapable Unborn Child Protection Act. RETWEET if you support this bill! #theyfeelpain",127,68
598593257057161216,2015-05-13 20:58:48,RT @SteveMontenegro: U.S. House voting 2day on HR36 to protect #unborn babies frm pain/abortion after 5th month of pregnancy #theyfeelpain …,16,0
598591294160637953,2015-05-13 20:51:00,RT @joshduggar: Great job keeping #theyfeelpain trending on @twitter this afternoon! #HR36 #prolife @FRCAction http://t.co/GWsl6q7GLf,30,0
598588612222005248,2015-05-13 20:40:21,"Mere minutes before the vote in the U.S. House, #HR36 is trending in the United States! Almost there! #theyfeelpain http://t.co/1yx3HTayAw",28,20
598586383830261761,2015-05-13 20:31:29,"NOW - Join me, @CWforA, @nrlc, @SBAList, @joshduggar &amp; thousands of #prolife activists for a #HR36 Twitter rally because #theyfeelpain.",30,17
598576242993045504,2015-05-13 19:51:11,LIVE - speaking on the House Floor in support of #HR36 because #theyfeelpain. Watch at http://t.co/sta88i19D4 #prolife #AZ08 #azright,22,20
598575679945441280,2015-05-13 19:48:57,RT @SpeakerBoehner: Heading to the floor of the House to speak in defense of unborn babies. WATCH: http://t.co/OP6IhElpLJ #HR36 #ProLife #T…,60,0
598575243096100866,2015-05-13 19:47:13,RT @RepMcKinley: Lets put a stop to painful late #abortion -- we are saving preemies at the same age: http://t.co/Fc5mcedx0s #theyfeelpain …,23,0
598571624326127619,2015-05-13 19:32:50,"RT @RepFincherTN08: Let’s put a stop to painful, late #abortion and protect the lives of innocent, unborn babies. #HR36 #TN08 http://t.co/b…",38,0
598570205267271682,2015-05-13 19:27:12,One-hour debate on #HR36. Floor vote expected after the conclusion of the debate. Keep up the support! #theyfeelpain https://t.co/fZcsGZJoc9,34,24
598567751368708096,2015-05-13 19:17:27,RT @RepSeanDuffy: What do we stand for in this institution if we do not stand 4 the most defenseless and voiceless? http://t.co/vnBJWhLEkV …,109,0
598567218364993536,2015-05-13 19:15:20,RT @JebBush: I urge Congress to support the late-term abortion ban today. We need to stand up for life and the most vulnerable among us. #H…,284,0
598563868508553216,2015-05-13 19:02:01,RT @JudgeCarter: 57% of millennials support protecting unborn children from #abortion after the fifth month of pregnancy #theyfeelpain http…,27,0
598563695577440258,2015-05-13 19:01:20,RT @RepublicanStudy: #RSC members are giving voice to the unborn @RepTrentFranks @RepDianeBlack @RepHartzler @CongHuelskamp @RepBillFlores …,15,0
598558600504705024,2015-05-13 18:41:05,RT @duggarfam: Join us! Urge Congress to protect pain-capable unborn children from abortion: http://t.co/aSpyrGUSjn #theyfeelpain http://t.…,81,0
598557934499540992,2015-05-13 18:38:26,RT @Chelspat: .@RepTrentFranks speaking at a press conference on Capitol Hill! #HR36 #TheyFeelPain http://t.co/T5wliShd5Q,10,0
598557669641818112,2015-05-13 18:37:23,"""Will we protect mothers and their pain capable babies from monsters like Kermit Gosnell?"" Must pass #36 http://t.co/GkFSjbTWCs",24,16
598557623299022848,2015-05-13 18:37:12,"RT @HouseGOP: Now: House GOP gather to discuss H.R. 36. ""All of us know in our heart what this issue means."" -@RepTrentFranks http://t.co/8…",21,0
598554196246405120,2015-05-13 18:23:35,It is a BEAUTIFUL day to speak on #hr36. #theyfeelpain but we can end it today! http://t.co/VOEj8o7vtV,11,12
598553949906542592,2015-05-13 18:22:36,RT @RepBoustany: Today I spoke on the House floor to defend those without a voice. #theyfeelpain @LARighttoLife @SBAList https://t.co/UBUTn…,12,0
598550892015673344,2015-05-13 18:10:27,RT @RepKenMarchant: I'm a cosponsor of #HR36 because it protects the right to life. http://t.co/FCgVbrKvLz,27,0
598550586368380928,2015-05-13 18:09:14,"RT @HouseGOP: A majority of Americans support protecting unborn children after 20 weeks. #TheyFeelPain 

http://t.co/mG2nbCKBkj https://t.c…",54,0
598543450795937792,2015-05-13 17:40:53,RT @CarlyFiorina: The life we save may make all the difference in the lives of others. I urge Congress to protect life &amp; pass #HR36.,118,0
598543270357110784,2015-05-13 17:40:10,TRUE! https://t.co/vg9vHYeMT5,18,10
598540558299209730,2015-05-13 17:29:24,"RT @RepAnnWagner: Passionate testimony during debate from @RepSeanDuffy, @virginiafoxx and many of my colleagues speaking in support of #LI…",13,0
598538814810894337,2015-05-13 17:22:28,"RT @Heritage_Action: House is debating #HR36, which would ban elective abortions after 5 months.

KEY VOTE YES http://t.co/EF9varOuCX 

#th…",33,0
598538493808238592,2015-05-13 17:21:11,"RT @RepDLamborn: I’m supporting #HR36, the Pain-Capable Unborn Children Protection Act because #theyfeelpain http://t.co/uT0oA6oo8k",52,0
